timestamp,intensity
0,-224.0
0.06,-203.0
0.13,-205.0
0.19,-251.0
0.25,-224.0
0.32,-240.0
0.38,-222.0
0.44,-233.0
0.5,-223.0
0.57,-235.0
0.63,-246.0
0.69,-248.0
0.76,-271.0
0.82,-284.0
0.88,-288.0
0.94,-303.0
1.01,-295.0
1.07,-304.0
1.13,-266.0
1.2,-254.0
1.26,-274.0
1.32,-272.0
1.39,-257.0
1.45,-242.0
1.51,-243.0
1.57,-240.0
1.64,-239.0
1.7,-219.0
1.76,-207.0
1.83,-230.0
1.89,-228.0
1.95,-242.0
2.02,-254.0
2.08,-245.0
2.14,-256.0
2.2,-252.0
2.27,-257.0
2.33,-256.0
2.39,-261.0
2.46,-251.0
2.52,-265.0
2.58,-276.0
2.65,-268.0
2.71,-275.0
2.77,-279.0
2.84,-301.0
2.9,-294.0
2.96,-299.0
3.02,-313.0
3.09,-327.0
3.15,-329.0
3.21,-338.0
3.28,-354.0
3.34,-351.0
3.4,-365.0
3.47,-322.0
3.53,-316.0
3.59,-322.0
3.65,-334.0
3.72,-342.0
3.78,-345.0
3.84,-370.0
3.91,-361.0
3.97,-353.0
4.03,-357.0
4.1,-351.0
4.16,-351.0
4.22,-369.0
4.28,-368.0
4.35,-380.0
4.41,-413.0
4.47,-393.0
4.54,-396.0
4.6,-409.0
4.66,-399.0
4.73,-370.0
4.79,-391.0
4.85,-403.0
4.91,-390.0
4.98,-381.0
5.04,-399.0
5.1,-402.0
5.17,-413.0
5.23,-432.0
5.29,-442.0
5.35,-440.0
5.42,-437.0
5.48,-448.0
5.54,-446.0
5.61,-412.0
5.67,-409.0
5.73,-398.0
5.8,-394.0
5.86,-389.0
5.92,-359.0
5.98,-366.0
6.05,-336.0
6.11,-335.0
6.17,-354.0
6.24,-354.0
6.3,-376.0
6.36,-371.0
6.43,-388.0
6.49,-410.0
6.55,-403.0
6.61,-406.0
6.68,-416.0
6.74,-423.0
6.8,-427.0
6.87,-431.0
6.93,-404.0
6.99,-440.0
7.06,-446.0
7.12,-419.0
7.18,-415.0
7.24,-437.0
7.31,-416.0
7.37,-404.0
7.43,-421.0
7.5,-395.0
7.56,-386.0
7.62,-380.0
7.69,-365.0
7.75,-367.0
7.81,-345.0
7.87,-350.0
7.94,-335.0
8.0,-331.0
8.06,-317.0
8.13,-303.0
8.19,-313.0
8.25,-307.0
8.32,-283.0
8.38,-270.0
8.44,-266.0
8.5,-260.0
8.57,-265.0
8.63,-272.0
8.69,-280.0
8.76,-270.0
8.82,-281.0
8.88,-285.0
8.95,-275.0
9.01,-282.0
9.07,-278.0
9.13,-270.0
9.2,-271.0
9.26,-290.0
9.32,-289.0
9.39,-268.0
9.45,-281.0
9.51,-300.0
9.58,-299.0
9.64,-293.0
9.7,-302.0
9.77,-309.0
9.83,-298.0
9.89,-333.0
9.95,-341.0
10.02,-330.0
10.08,-342.0
10.14,-335.0
10.21,-347.0
10.27,-348.0
10.33,-341.0
10.4,-317.0
10.46,-332.0
10.52,-328.0
10.58,-314.0
10.65,-312.0
10.71,-304.0
10.77,-308.0
10.84,-291.0
10.9,-285.0
10.96,-294.0
11.03,-313.0
11.09,-315.0
11.15,-336.0
11.21,-327.0
11.28,-308.0
11.34,-347.0
11.4,-309.0
11.47,-329.0
11.53,-342.0
11.59,-335.0
11.66,-320.0
11.72,-314.0
11.78,-320.0
11.84,-286.0
11.91,-293.0
11.97,-278.0
12.03,-290.0
12.1,-251.0
12.16,-241.0
12.22,-234.0
12.29,-221.0
12.35,-189.0
12.41,-176.0
12.47,-175.0
12.54,-153.0
12.6,-143.0
12.66,-116.0
12.73,-84.0
12.79,-76.0
12.85,-71.0
12.92,-50.0
12.98,-65.0
13.04,-59.0
13.1,-48.0
13.17,-27.0
13.23,-23.0
13.29,-40.0
13.36,-21.0
13.42,-26.0
13.48,-7.0
13.55,-14.0
13.61,-31.0
13.67,-55.0
13.73,-29.0
13.8,-14.0
13.86,-12.0
13.92,-7.0
13.99,-40.0
14.05,-32.0
14.11,-46.0
14.18,-55.0
14.24,-49.0
14.3,-60.0
14.36,-62.0
14.43,-55.0
14.49,-57.0
14.55,-71.0
14.62,-57.0
14.68,-60.0
14.74,-86.0
14.81,-86.0
14.87,-86.0
14.93,-87.0
14.99,-100.0
15.06,-93.0
15.12,-93.0
15.18,-120.0
15.25,-113.0
15.31,-99.0
15.37,-97.0
15.44,-97.0
15.5,-95.0
15.56,-92.0
15.62,-90.0
15.69,-96.0
15.75,-105.0
15.81,-115.0
15.88,-118.0
15.94,-129.0
16.0,-101.0
16.07,-86.0
16.13,-89.0
16.19,-75.0
16.25,-103.0
16.32,-115.0
16.38,-89.0
16.44,-67.0
16.51,-73.0
16.57,-60.0
16.63,-60.0
16.7,-33.0
16.76,-28.0
16.82,-25.0
16.88,-30.0
16.95,-29.0
17.01,-30.0
17.07,-3.0
17.14,-10.0
17.2,-25.0
17.26,-27.0
17.33,-42.0
17.39,-70.0
17.45,-64.0
17.51,-69.0
17.58,-68.0
17.64,-75.0
17.7,-82.0
17.77,-83.0
17.83,-84.0
17.89,-92.0
17.96,-103.0
